# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
كلاسيك,"1,561",7.45,18.32%,8.59%,00:08:53,8.38
شيفروليه,"1,560",4.85,15.06%,16.16%,00:05:51,4.94
رانج روفر,"1,559",2.43,15.07%,28.73%,00:04:50,4.71
بنات,"1,557",2.07,14.96%,36.35%,00:02:44,3.03
بيكب,"1,556",4.69,19.73%,15.12%,00:05:53,5.45
جيتا,"1,555",2.61,10.29%,29.10%,00:04:35,4.04
سنتافي 2013,"1,554",3.25,13.13%,21.49%,00:06:46,6.00
i10,"1,551",2.69,12.38%,28.68%,00:05:40,5.51
Fj,"1,550",3.90,18.45%,15.97%,00:05:39,5.51
Audi,"1,547",5.14,18.16%,13.71%,00:06:44,4.67
بلايستيشن,"1,547",4.16,20.23%,14.15%,00:08:19,7.29
مشتريات,"1,547",2.44,15.71%,18.57%,00:09:08,9.68
هايلاندر,"1,546",2.78,15.14%,25.25%,00:05:23,4.35
GMC,"1,543",4.73,18.54%,14.18%,00:07:40,6.21
جرش,"1,543",10.31,24.37%,5.34%,00:10:55,10.33
كامري عضلات,"1,543",5.48,15.81%,12.31%,00:09:30,7.33
سمك,"1,542",3.76,19.84%,13.08%,00:07:05,6.59
هونداي سانتافي,"1,542",5.66,17.77%,11.80%,00:10:41,8.18
مازدا 6,"1,541",4.46,19.08%,13.83%,00:06:37,6.03
عدن,"1,540",4.76,19.29%,12.89%,00:07:09,6.49
هوندا سفيك,"1,537",5.65,17.50%,12.32%,00:07:12,6.33
برنس,"1,536",6.42,17.25%,10.04%,00:07:41,7.48
دب,"1,536",3.68,11.46%,23.32%,00:04:31,3.75
لانترا,"1,532",3.73,12.53%,21.97%,00:05:53,4.51
مزارع,"1,532",8.99,25.33%,5.67%,00:11:24,9.34
اليادودة,"1,530",4.57,18.63%,14.96%,00:07:04,6.26
دوج تشارجر,"1,530",4.88,15.23%,14.59%,00:06:08,6.08
xbox one,"1,529",2.88,22.63%,16.96%,00:05:00,3.94
سطح,"1,526",6.49,21.10%,8.66%,00:10:46,10.16
دبل قابينة,"1,522",4.86,20.57%,13.24%,00:09:18,6.90
لكسز,"1,522",2.85,11.63%,30.56%,00:04:52,4.36
سييرا,"1,521",2.12,11.77%,36.75%,00:02:26,2.87
تلفون,"1,520",4.22,14.41%,17.64%,00:06:46,6.52
سبورت,"1,520",6.38,15.46%,11.84%,00:08:30,6.49
تويوتا كارينا,"1,519",4.91,16.19%,14.44%,00:07:29,6.57
مفخره,"1,518",4.50,16.27%,14.25%,00:08:09,7.50
باسات سي سي,"1,517",3.29,11.07%,21.69%,00:08:29,6.27
سوزي,"1,516",3.03,10.95%,26.04%,00:06:07,5.62
داو لانوس,"1,514",5.35,14.60%,11.88%,00:09:37,9.01
داو كالوس,"1,513",5.00,13.35%,14.49%,00:09:57,8.72
توسان 2010,"1,511",4.02,13.77%,17.96%,00:07:31,6.80
كورونا,"1,511",2.76,8.27%,29.91%,00:04:49,4.07
ثلاجات,"1,510",5.80,20.13%,9.85%,00:08:14,7.64
شفر كروز,"1,508",5.06,17.84%,12.02%,00:07:21,6.35
محرك,"1,507",3.77,14.66%,21.21%,00:06:18,4.40
سوبارو امبريزا,"1,506",5.66,19.12%,10.88%,00:07:32,6.16
سيستم,"1,505",4.88,15.55%,12.35%,00:09:35,7.74
جينسس,"1,503",2.18,9.25%,39.42%,00:04:46,4.46
2011,"1,502",5.70,14.31%,13.01%,00:08:28,6.73
sony xperia,"1,501",3.51,17.32%,18.05%,00:06:00,4.72
s5,"1,500",2.29,15.40%,25.39%,00:04:52,4.49
الاستبدال,"1,500",7.13,23.60%,7.11%,00:15:06,12.84
bmw 740,"1,499",2.23,9.34%,39.70%,00:03:10,2.94
led,"1,497",3.94,16.30%,18.18%,00:05:21,4.22
ايجار,"1,496",8.39,23.60%,5.89%,00:10:31,9.48
كيا برايد,"1,493",4.25,10.52%,17.70%,00:07:22,6.80
كهرباء,"1,490",3.50,17.25%,14.36%,00:07:06,6.52
طقم كنب,"1,489",9.01,19.41%,5.95%,00:11:13,11.59
grand,"1,488",3.28,17.20%,18.48%,00:05:40,5.63
اكسنت 2011,"1,486",4.22,14.87%,16.56%,00:07:50,5.44
شقق اقساط,"1,486",9.76,31.36%,4.85%,00:11:55,10.34
كوبرا,"1,486",3.69,11.57%,17.65%,00:09:28,6.42
جيب رانجلر,"1,482",2.71,14.04%,24.53%,00:05:32,4.50
كيا فورتي كوبيه,"1,482",6.85,20.51%,8.39%,00:08:06,6.38
tablet,"1,481",4.53,19.11%,11.55%,00:07:32,5.60
كوشوك,"1,481",4.87,17.76%,16.44%,00:05:40,5.01
محاسبة,"1,481",6.19,29.64%,5.00%,00:09:39,9.25
سكرتيرة,"1,478",6.88,17.66%,6.75%,00:11:21,12.46
c 200,"1,477",4.47,13.81%,15.91%,00:06:10,5.57
قرجي,"1,477",5.76,20.38%,10.47%,00:10:25,7.34
ابيزا,"1,473",2.47,12.08%,28.75%,00:04:27,3.82
علاج طبيعي,"1,473",3.37,23.42%,9.29%,00:06:32,7.14
مرسيدس c180,"1,473",6.40,16.97%,11.23%,00:08:13,6.89
اكتروز,"1,470",2.53,9.80%,34.74%,00:03:40,3.35
الفحيص,"1,469",5.96,21.72%,9.24%,00:08:50,9.51
لاند,"1,465",4.41,16.04%,16.73%,00:05:45,4.74
استراحه,"1,464",9.62,29.23%,4.18%,00:15:47,11.54
تيوتا تندرا,"1,464",6.89,23.36%,8.90%,00:10:30,8.02
c300,"1,463",2.93,10.46%,25.78%,00:06:25,5.49
turbo,"1,461",4.35,15.40%,17.19%,00:05:10,4.05
بونتو,"1,461",2.74,9.38%,28.38%,00:05:58,5.62
اكسسوارات,"1,460",5.08,18.36%,13.76%,00:06:20,5.35
شيف,"1,460",3.82,19.11%,14.25%,00:06:27,5.77
optima,"1,458",3.93,14.68%,16.84%,00:06:23,5.21
بى ام,"1,458",7.97,22.50%,7.71%,00:11:44,8.25
bmw كشف,"1,457",6.19,20.93%,10.58%,00:07:20,5.79
تويتا,"1,457",3.73,11.05%,24.42%,00:04:54,4.44
جولف بولو,"1,457",3.99,12.35%,19.57%,00:06:00,5.55
لادا نيفا,"1,456",3.03,16.28%,21.86%,00:05:00,4.14
ex,"1,455",4.38,15.74%,12.36%,00:07:57,8.65
طابعة,"1,455",5.02,20.55%,10.86%,00:09:28,8.02
اوبل فيتا,"1,453",4.05,11.29%,16.80%,00:08:14,7.20
عقارات,"1,452",7.25,23.28%,6.08%,00:10:38,10.17
هنداي اكسنت,"1,451",5.55,16.54%,13.80%,00:08:27,6.57
موبايلات,"1,449",5.19,25.40%,9.60%,00:06:57,5.69
شطب,"1,448",4.37,16.09%,14.57%,00:08:46,7.44
تبديل,"1,447",4.49,14.37%,17.36%,00:08:20,8.12
كرت شاشة,"1,446",5.82,21.92%,7.92%,00:09:33,8.30
سرير,"1,444",5.06,19.53%,10.90%,00:08:37,7.53
هونداي لنترا,"1,444",5.57,19.94%,13.00%,00:08:25,6.17
bmw 325,"1,442",3.89,12.41%,21.21%,00:05:12,4.40
تويوتا بريفيا,"1,442",4.50,19.97%,10.98%,00:11:54,7.91
طاولة,"1,436",5.41,21.87%,12.02%,00:08:23,7.45
golf gti,"1,434",4.25,16.11%,14.65%,00:07:50,6.02
دباب,"1,434",3.65,17.15%,18.34%,00:05:00,4.83
شاريد,"1,433",3.29,10.05%,23.82%,00:05:54,5.84
موستنق,"1,431",2.35,12.30%,32.03%,00:04:30,4.24
laptop,"1,429",4.58,21.13%,12.42%,00:07:01,5.81
اوباما,"1,428",5.48,18.35%,11.42%,00:07:34,7.10
ساعه,"1,427",6.45,23.27%,9.78%,00:07:30,7.20
لانسر 2006,"1,427",4.70,13.67%,15.96%,00:07:08,5.87
سوزكي,"1,422",3.34,12.73%,27.04%,00:05:08,4.24
مكاتب,"1,421",6.92,23.86%,6.83%,00:09:03,8.64
suzuki,"1,417",5.14,17.71%,14.13%,00:05:26,4.41
فستان,"1,415",7.56,20.00%,6.21%,00:10:05,10.78
فيراكروز,"1,414",3.34,14.29%,18.77%,00:08:27,6.43
خيل,"1,413",2.69,9.13%,33.13%,00:04:33,4.22
مازدا زوم,"1,411",4.65,14.25%,15.55%,00:07:35,7.23
gt,"1,408",3.90,11.58%,19.24%,00:06:23,5.64
توصيل,"1,406",4.73,17.92%,12.41%,00:07:08,7.22
للبيع,"1,406",6.21,17.71%,10.61%,00:09:11,8.93
شفر افيو,"1,403",4.65,15.82%,15.95%,00:06:57,5.45
فرن,"1,402",3.99,14.19%,20.52%,00:06:12,6.20
جالكسي,"1,401",4.34,22.13%,14.92%,00:06:41,5.02
مرسيدس كوبيه,"1,400",4.20,12.14%,17.84%,00:05:43,5.03
1500,"1,395",5.67,14.05%,13.81%,00:07:11,5.88
bmw m3,"1,395",5.02,15.41%,14.17%,00:06:24,5.24
ابونصير,"1,394",5.62,22.81%,10.32%,00:10:39,9.74
شقق مفروشة,"1,390",7.93,30.50%,4.07%,00:09:41,8.44
بكب فورد,"1,389",5.58,15.48%,13.97%,00:06:26,5.18
متسوبيشي جالنت,"1,389",5.82,15.05%,12.84%,00:07:40,6.36
ابل,"1,387",3.22,13.41%,25.26%,00:06:22,5.29
كيا لوتز,"1,387",5.77,18.96%,11.69%,00:09:49,7.59
escape,"1,386",5.11,18.25%,10.69%,00:09:17,7.18
مخزن,"1,386",6.12,24.03%,9.07%,00:09:14,7.50
ipod,"1,385",3.42,18.48%,17.83%,00:05:38,5.07
سوناتا 2007,"1,383",4.98,14.24%,13.03%,00:09:08,7.41
محلات للايجار,"1,381",9.49,26.21%,5.36%,00:12:52,10.92
اغنام,"1,379",3.03,10.80%,24.83%,00:06:33,6.57
كيا اسبكترا,"1,378",5.14,17.34%,13.18%,00:09:33,8.13
امن,"1,377",4.77,24.98%,9.07%,00:06:49,7.38
موستنغ,"1,374",2.17,9.83%,39.16%,00:03:02,2.90
باص تويوتا,"1,373",4.69,15.08%,17.13%,00:06:42,5.32
توكسان,"1,371",4.12,17.58%,16.45%,00:05:31,4.74
porsche,"1,369",3.45,27.90%,19.34%,00:05:06,3.18
توسكان,"1,366",2.22,12.01%,37.60%,00:03:46,3.72
هونداي كلك,"1,365",4.46,13.41%,14.53%,00:08:25,8.05
تويوتا fj,"1,364",4.56,20.82%,12.24%,00:09:23,6.93
Toyota,"1,363",6.85,23.99%,9.86%,00:07:23,5.40
افانتي 2007,"1,363",4.57,17.09%,13.87%,00:07:27,6.30
الفرناج,"1,362",6.88,23.86%,8.68%,00:11:50,8.32
bm,"1,357",2.83,10.24%,30.53%,00:04:34,4.64
جلنت,"1,356",2.73,10.99%,30.43%,00:04:40,4.43
polo,"1,355",3.77,12.62%,16.87%,00:07:20,7.56
نجار,"1,355",4.24,25.83%,9.83%,00:07:13,6.39
القويسمة,"1,352",5.23,26.04%,12.13%,00:07:35,5.89
h1,"1,351",4.08,17.62%,15.02%,00:07:58,7.18
نقل,"1,351",5.00,16.43%,14.17%,00:08:07,6.70
اكتروس,"1,348",2.16,10.24%,40.12%,00:04:16,3.58
كشلاف,"1,348",4.75,15.28%,14.48%,00:09:08,7.14
سوناتا 2012,"1,347",4.52,12.18%,16.24%,00:07:09,6.26
كابريس,"1,346",2.61,9.44%,29.61%,00:04:18,4.80
مرسيدس بانوراما,"1,346",5.72,20.51%,10.81%,00:08:44,6.85
هونداي النترا 2012,"1,346",4.36,13.67%,17.48%,00:07:26,6.07
ستروين c3,"1,345",4.04,12.12%,19.18%,00:07:21,6.52
المدينة الرياضية,"1,344",6.57,19.49%,9.23%,00:08:59,8.32
بكمات,"1,344",10.67,23.81%,6.72%,00:11:47,7.90
دراجات ناريه,"1,344",6.87,23.36%,8.11%,00:07:52,6.85
هندسة,"1,344",5.67,45.24%,3.61%,00:08:34,6.76
المفرق,"1,343",8.57,22.19%,6.39%,00:11:41,10.95
مندوب مبيعات,"1,341",5.70,21.48%,6.68%,00:08:08,9.11
تويوتا لاند كروزر,"1,338",3.95,16.37%,18.60%,00:06:22,4.92
iveco,"1,337",5.52,23.26%,11.17%,00:09:07,6.49
اكسنت 97,"1,337",5.66,14.51%,11.21%,00:07:58,7.76
فلوبر,"1,337",2.58,13.61%,24.29%,00:07:45,7.21
باص كيا,"1,335",6.48,17.00%,10.68%,00:08:35,7.15
بيض,"1,334",4.50,18.97%,13.72%,00:07:07,5.79
528,"1,333",3.98,10.65%,18.37%,00:08:29,7.75
تربية خاصة,"1,333",4.06,27.01%,8.92%,00:06:53,5.94
راف,"1,332",2.73,13.44%,26.61%,00:06:25,5.49
عمل,"1,332",5.16,20.50%,8.45%,00:07:29,8.10
واي مكس,"1,331",5.12,25.24%,9.53%,00:09:57,7.47
m5,"1,330",3.83,11.13%,18.96%,00:06:49,5.75
جنطات للبيع,"1,329",5.56,19.86%,12.55%,00:05:43,4.99
silverado,"1,327",2.61,10.93%,31.40%,00:03:37,3.12
بيجو206,"1,322",2.59,13.46%,33.12%,00:04:30,4.34
ضاحية الاقصى,"1,322",6.12,20.88%,10.89%,00:07:19,6.92
قلابات,"1,322",10.46,27.76%,5.97%,00:10:11,8.14
blackberry,"1,321",3.78,17.26%,17.25%,00:06:08,5.23
أكسنت,"1,321",6.20,19.00%,11.08%,00:10:59,7.14
كاميرات,"1,321",4.25,20.06%,13.65%,00:06:36,5.13
منازل,"1,320",5.56,19.70%,11.04%,00:09:39,9.05
مسجل سيارة,"1,318",4.55,16.84%,14.45%,00:07:16,6.29
اوبل زافيرا,"1,316",4.92,13.91%,11.50%,00:11:12,10.61
اكسبلورر,"1,312",3.80,12.20%,18.35%,00:05:44,4.80
باصات للبيع,"1,312",12.50,31.17%,3.46%,00:15:59,12.94
افانتي hd,"1,311",6.94,21.21%,8.46%,00:08:47,6.72
جاكور,"1,311",3.17,11.75%,24.74%,00:05:04,5.04
سبيرو,"1,311",4.46,12.20%,16.02%,00:08:05,7.50
رقم مميز,"1,310",9.29,17.25%,6.47%,00:11:09,14.02
مخبز,"1,310",4.74,17.10%,14.90%,00:07:59,7.16
2500,"1,307",6.32,13.08%,12.30%,00:08:19,6.70
اودي a4,"1,307",4.72,12.85%,15.29%,00:06:52,5.97
bmw وطواط,"1,306",6.77,25.57%,8.31%,00:09:06,7.59
مصمم جرافيك,"1,305",3.87,21.99%,8.94%,00:07:02,6.99
a4,"1,303",3.37,12.28%,20.98%,00:05:32,5.33
xperia z,"1,302",2.97,19.43%,18.72%,00:05:27,5.15
ليفان,"1,302",5.73,23.20%,11.04%,00:08:10,6.35
هونداي تراجيت,"1,301",6.28,22.44%,8.35%,00:11:39,9.24
السواني,"1,297",6.55,22.67%,8.99%,00:11:31,8.27
رسام,"1,294",2.78,21.79%,15.31%,00:05:27,5.64
كيا ريو 2013,"1,294",4.04,12.98%,16.50%,00:07:14,6.97
زواج,"1,293",2.86,15.78%,22.89%,00:05:17,4.48
كرايزر,"1,293",2.67,10.13%,31.23%,00:04:40,4.96
نيسان التما,"1,288",4.36,13.66%,16.36%,00:06:22,6.18
لانسر 2009,"1,286",4.91,17.11%,12.86%,00:07:43,6.72
فقاسات,"1,285",6.04,19.07%,8.61%,00:10:11,8.22
فيزا,"1,285",5.01,14.16%,12.02%,00:08:10,7.54
حي نزال,"1,282",5.56,19.19%,12.25%,00:06:31,6.25
مستعجل,"1,281",7.05,15.85%,10.49%,00:11:33,9.81
كبريو,"1,279",3.80,13.21%,20.47%,00:06:42,5.95
لانسر 2007,"1,279",4.25,12.43%,16.89%,00:07:18,6.01
فراري,"1,278",1.90,10.25%,46.22%,00:02:23,2.56
سيليكا,"1,277",2.98,8.07%,26.49%,00:06:01,6.35
لانسر 2000,"1,277",4.69,12.61%,17.62%,00:06:42,4.84
بي ام زعره,"1,275",3.94,15.61%,18.55%,00:05:18,5.34
740,"1,274",2.55,9.50%,33.95%,00:03:41,3.70
ford f150,"1,273",5.33,17.75%,12.26%,00:07:09,6.26
اثاث مستعمل,"1,273",8.01,16.81%,7.12%,00:11:14,11.20
بكب اسوزو,"1,271",4.96,13.77%,16.89%,00:06:50,5.47
سامسونق,"1,271",3.33,14.00%,21.55%,00:07:30,6.54
كراسي,"1,271",4.16,15.81%,18.79%,00:05:53,5.40
ليبيا,"1,271",2.68,19.67%,19.22%,00:05:16,4.84
مني كوبر,"1,271",4.14,15.50%,18.02%,00:05:57,5.68
بي ام دب,"1,268",6.00,16.56%,11.84%,00:08:00,6.48
حارس,"1,268",3.22,11.75%,22.23%,00:06:33,7.69
فساتين,"1,268",7.39,20.19%,6.54%,00:08:50,9.81
موهافي,"1,268",4.05,16.80%,15.97%,00:06:12,5.58
3500,"1,267",6.97,20.68%,10.01%,00:10:16,7.88
bmw e30,"1,267",3.87,14.29%,18.46%,00:06:08,5.64
العقبه,"1,267",8.20,27.23%,5.88%,00:10:17,9.23
الشميساني,"1,266",7.09,20.54%,9.09%,00:09:31,8.84
كامري 2006,"1,266",3.81,9.72%,20.88%,00:05:05,4.95
كورنر,"1,263",6.93,19.24%,7.52%,00:10:13,10.12
الجبيهه,"1,262",8.55,24.17%,6.66%,00:11:39,10.35
سيراتو 2012,"1,262",4.29,15.85%,16.47%,00:06:53,5.83
بي ام ارنوب,"1,260",5.26,14.68%,15.25%,00:09:19,6.59
البدل,"1,259",10.15,27.88%,4.36%,00:15:37,12.17
بلاستيشن 3,"1,257",5.46,21.08%,9.22%,00:08:39,7.69
فيتا,"1,256",3.07,10.11%,24.71%,00:05:51,6.02
تويوتا بريوس 2008,"1,255",7.00,19.76%,7.77%,00:11:25,9.83
وطواط كوبيه,"1,255",2.82,12.59%,27.63%,00:04:28,4.13
جيب جراند شيروكي,"1,254",4.05,16.11%,17.47%,00:06:39,5.54
صيد,"1,253",4.25,14.92%,17.08%,00:05:53,5.03
بك اب تويوتا,"1,251",3.42,11.83%,25.37%,00:05:01,4.57
شفرليت كروز,"1,251",3.48,10.95%,21.73%,00:08:21,8.25
اراضي للبيع,"1,250",9.71,25.76%,5.59%,00:10:57,8.67
جيب لبرتي,"1,250",4.54,18.00%,13.51%,00:08:56,7.18
بنجو,"1,249",4.65,16.57%,16.24%,00:06:03,5.40
سوري,"1,249",6.08,20.74%,8.71%,00:08:26,8.32
سجاد,"1,247",5.67,19.57%,9.88%,00:08:25,8.90
سيارات غير مجمركة,"1,247",9.93,38.01%,4.21%,00:13:00,8.85
سنقل,"1,246",2.79,10.35%,32.71%,00:04:08,3.30
Iphone,"1,245",4.95,28.43%,8.05%,00:07:21,6.53
افانتي اقساط,"1,243",6.90,18.50%,10.06%,00:08:05,6.79
كيا 1,"1,242",5.93,17.39%,11.59%,00:07:46,6.37
راس حسن,"1,241",4.12,25.54%,16.80%,00:06:15,4.80
غواصة,"1,241",3.43,13.22%,21.92%,00:05:08,5.05
motorola,"1,240",2.37,9.60%,31.03%,00:05:34,5.13
بيم,"1,240",2.70,11.69%,32.38%,00:04:53,5.29
جلسة,"1,237",6.31,18.35%,8.18%,00:12:23,11.55
ثريات,"1,235",3.75,16.44%,20.16%,00:06:55,6.80
فنادق,"1,233",4.13,19.06%,13.11%,00:06:28,7.44
فيلا للبيع,"1,231",9.85,26.16%,4.86%,00:11:56,9.15
تويوتا اف جي,"1,230",4.33,19.59%,14.27%,00:07:45,5.80
جرافيك,"1,230",2.85,20.00%,18.17%,00:05:41,4.93
wrangler,"1,229",2.01,12.69%,34.59%,00:04:08,3.12
مرسيدس بدون جمرك,"1,229",6.05,24.98%,9.94%,00:08:02,6.55
ذهب,"1,228",3.66,17.59%,18.69%,00:06:19,5.92
بي ام 318,"1,227",5.43,16.14%,14.50%,00:07:16,5.47
قرض,"1,226",5.15,19.33%,10.03%,00:08:49,8.13
كانون,"1,226",3.95,20.55%,16.42%,00:05:12,3.64
تدريس,"1,225",6.54,26.78%,5.77%,00:09:39,8.68
اودى,"1,224",4.74,14.95%,16.03%,00:06:59,5.36
ديسكو,"1,224",5.28,17.40%,14.29%,00:06:56,5.73
ساحبة,"1,220",5.37,21.31%,10.32%,00:11:01,8.13
مرسيدس فيتو,"1,220",7.05,22.54%,7.12%,00:13:12,10.47
هوندي,"1,220",9.49,19.43%,8.09%,00:09:50,6.24
فرصة,"1,218",6.10,18.88%,11.29%,00:10:04,7.81
السابع,"1,217",6.90,20.62%,8.71%,00:08:25,8.28
كيا كارينز,"1,215",4.23,13.25%,16.04%,00:07:49,7.14
amg,"1,214",4.63,15.65%,15.17%,00:07:09,5.42
بى ام دبليو,"1,214",7.24,24.38%,8.46%,00:11:17,7.07
تريل بليزر,"1,214",4.84,16.47%,12.29%,00:07:55,7.31
فرد,"1,214",2.07,11.53%,43.85%,00:02:50,2.96
بندقية صيد,"1,213",2.23,10.72%,33.31%,00:05:42,5.29
c5,"1,212",2.43,9.32%,30.17%,00:06:44,5.13
اوت لاندر,"1,211",3.52,11.73%,20.45%,00:09:19,6.86
حضانة,"1,211",4.87,18.58%,11.77%,00:09:13,8.92
خيول,"1,210",3.28,12.15%,21.64%,00:07:03,6.30
زوم,"1,210",3.81,11.57%,19.58%,00:07:01,6.00
جيتار,"1,209",2.51,21.67%,22.22%,00:04:59,4.75
bmw x6,"1,208",2.39,10.76%,30.51%,00:05:35,4.36
سيارت,"1,207",4.27,20.13%,13.52%,00:06:53,7.66
متشي كنتر,"1,207",4.53,15.91%,14.92%,00:09:33,7.35
السفر,"1,205",5.92,22.24%,10.53%,00:08:20,7.13
شارجر,"1,204",3.42,15.03%,22.06%,00:03:43,3.57
هامر,"1,204",2.35,11.30%,32.46%,00:05:14,4.87
تركتر,"1,203",3.60,12.39%,21.26%,00:05:07,5.23
موبص,"1,203",4.24,18.95%,14.37%,00:07:42,7.08
ياماها,"1,203",4.93,19.12%,14.22%,00:05:46,4.73
مرسيدس كشف,"1,202",6.30,17.05%,11.59%,00:07:28,5.90
z3,"1,200",2.82,8.50%,28.29%,00:05:30,6.36
بيجو 306,"1,200",3.08,11.67%,24.07%,00:04:58,5.17
تويوتا بريوس 2009,"1,200",6.68,21.50%,8.45%,00:11:07,8.06
عطور,"1,199",4.18,15.01%,12.47%,00:06:37,6.95
i20,"1,198",1.98,9.43%,40.03%,00:04:19,4.46
ام نوارة,"1,198",6.04,19.53%,11.44%,00:06:45,6.51
ضاحية الحاج حسن,"1,198",4.88,19.87%,13.93%,00:05:33,5.53
ميتشي,"1,198",5.69,17.11%,13.65%,00:07:56,6.36
sr,"1,197",2.79,13.53%,25.07%,00:03:55,4.30
سوبرماركت,"1,196",4.98,16.81%,13.26%,00:07:47,7.89
صيني,"1,196",4.56,14.63%,17.76%,00:07:24,5.08
غنم,"1,196",2.34,9.78%,35.51%,00:03:35,3.61
الدمام,"1,195",5.53,45.36%,3.46%,00:12:56,6.20
bmw 328,"1,194",4.05,12.98%,19.73%,00:07:02,5.73
بنغازى,"1,194",11.64,42.29%,2.46%,00:18:11,10.27
6000,"1,193",7.25,17.10%,10.16%,00:08:07,6.97
بكبات,"1,193",10.05,28.33%,6.08%,00:11:37,8.70
مجمع تجاري,"1,192",10.57,28.36%,4.11%,00:12:06,11.06
سيراميك,"1,191",4.24,19.48%,13.58%,00:08:18,6.50
تشالنجر,"1,190",2.05,9.58%,38.39%,00:03:23,3.22
مستوبيشي لانسر,"1,190",5.76,16.81%,13.85%,00:08:01,7.67
فريزر,"1,188",5.09,22.14%,9.01%,00:08:03,9.66
السرو,"1,187",6.71,18.96%,8.97%,00:08:13,8.39
vitara,"1,186",3.42,15.94%,20.25%,00:05:12,4.39
برايد,"1,186",3.10,16.19%,22.04%,00:06:20,5.19
Ps4,"1,185",3.04,25.74%,13.16%,00:04:44,4.22
cls,"1,182",2.27,10.41%,32.80%,00:04:26,4.40
النوفليين,"1,182",6.62,26.06%,8.02%,00:10:54,7.89
بيجو 308,"1,182",3.88,14.13%,18.40%,00:06:16,5.25
ليبرتي,"1,182",3.97,14.47%,17.49%,00:07:08,6.30
فيكترا,"1,180",5.13,17.63%,13.29%,00:07:24,6.73
مرسيدس clk,"1,179",6.20,17.05%,11.42%,00:07:39,5.82
accord,"1,176",4.54,13.10%,15.80%,00:06:12,5.78
7000,"1,174",6.89,16.10%,9.85%,00:08:52,7.91
ازيرا 2012,"1,174",2.10,11.67%,38.72%,00:04:08,3.17
باص بنزين,"1,174",5.29,20.70%,13.76%,00:08:43,6.32
بريوس 2012,"1,174",4.90,18.23%,11.83%,00:07:58,6.41
htc one x,"1,173",3.61,19.78%,15.09%,00:08:05,6.38
فتاه,"1,173",8.69,16.03%,7.08%,00:10:33,12.87
هواندي,"1,173",5.80,17.14%,14.20%,00:08:09,7.54
بسات,"1,172",3.40,9.30%,26.10%,00:05:44,4.36
دبي,"1,169",3.12,16.94%,18.48%,00:05:38,5.42
امريكي,"1,168",4.27,13.36%,18.63%,00:06:33,4.65
جرو,"1,168",2.49,10.10%,31.32%,00:04:55,4.62
رينو ميغان,"1,167",4.07,14.74%,17.41%,00:06:32,5.53
بريوس 2007,"1,166",4.59,16.98%,14.75%,00:07:47,5.72
كيا ابتما,"1,166",4.00,12.69%,20.22%,00:06:29,5.14
مراسل,"1,166",4.99,18.70%,10.25%,00:08:01,8.77
اطارات,"1,165",4.10,15.71%,19.18%,00:05:48,4.50
ايفون 4s,"1,163",4.95,20.98%,11.40%,00:07:49,6.60
هونداي توسكاني,"1,162",4.82,17.47%,13.00%,00:08:53,6.98
هونداي كوبيه,"1,162",5.83,16.87%,12.53%,00:07:03,5.99
skoda,"1,159",4.12,17.69%,14.67%,00:07:31,6.16
اوبل اوميجا,"1,159",4.73,10.79%,16.77%,00:06:53,6.08
كيا سيراتو 2010,"1,159",4.64,14.84%,14.84%,00:08:25,6.31
لوتز,"1,159",3.97,11.82%,19.61%,00:07:06,6.25
نافطه,"1,158",6.06,24.70%,10.14%,00:10:19,6.24
بيجو 107,"1,155",3.45,13.51%,20.97%,00:06:26,5.51
سيارة اقساط,"1,152",9.82,18.40%,7.04%,00:11:12,8.47
افانتي 2010,"1,151",4.66,15.20%,15.07%,00:07:18,5.41
دنبر,"1,151",4.26,14.51%,16.53%,00:08:32,7.56
BMW 520,"1,150",6.78,17.91%,9.66%,00:08:42,7.23
خادمة,"1,149",4.36,14.97%,13.62%,00:06:21,7.30
خزانة,"1,148",5.17,19.60%,11.13%,00:08:02,7.97
وظائف شاغرة,"1,147",7.43,27.38%,4.24%,00:09:10,10.28
حلاق,"1,145",5.02,20.70%,9.34%,00:08:28,9.21
galaxy s4,"1,144",3.39,21.15%,16.59%,00:05:56,4.45
hp,"1,144",4.40,19.58%,12.91%,00:08:19,6.17
حلويات,"1,144",4.38,21.33%,13.19%,00:07:49,5.75
كدت,"1,144",3.42,10.75%,23.66%,00:05:36,4.89
مخازن,"1,144",6.15,18.71%,10.06%,00:08:04,6.75
سوزوكي التو,"1,143",2.84,12.69%,28.21%,00:04:48,4.59
سيارات بدون جمرك,"1,143",6.80,25.02%,9.72%,00:08:10,4.93
مازدا 626,"1,141",4.93,15.78%,13.50%,00:09:36,7.27
2008,"1,139",5.56,13.35%,13.81%,00:07:35,7.29
شفر اوبترا,"1,137",4.28,14.34%,16.38%,00:06:50,6.63
3d,"1,135",3.87,29.07%,11.64%,00:06:11,4.80
رخام,"1,135",5.31,20.35%,10.41%,00:09:29,8.41
سيارات بالتقسيط,"1,135",8.25,19.47%,6.30%,00:11:30,10.41
قلع,"1,135",3.65,13.48%,19.98%,00:08:03,6.47
شقة ارضية,"1,134",10.87,32.89%,3.87%,00:14:10,9.80
باص هونداي h100,"1,133",7.56,25.95%,6.84%,00:11:29,8.10
