# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
بليزر,"10,808",5.80,17.23%,11.61%,00:08:12,7.41
Bmw,"10,668",8.25,28.26%,6.46%,00:08:51,6.55
هايبرد,"10,642",8.42,26.47%,6.30%,00:11:53,8.21
استبدال,"10,637",8.11,28.00%,5.84%,00:16:33,12.16
كيا فورتي,"10,613",6.18,18.23%,9.71%,00:08:42,7.16
سبكترا,"10,587",5.56,16.99%,11.37%,00:09:36,8.81
مرسيدس بطه,"10,496",8.02,21.88%,7.13%,00:11:30,9.15
فيلا,"10,386",9.18,26.71%,5.13%,00:12:44,10.16
كيا بيكانتو,"10,358",6.38,19.75%,10.12%,00:08:44,7.26
شيري,"10,314",5.49,14.81%,12.94%,00:08:29,8.10
هونداي افانتي,"10,276",7.39,21.35%,8.80%,00:09:24,7.04
هونداي النترا,"10,229",6.69,18.63%,10.36%,00:08:55,6.78
لكزس,"10,191",5.19,20.36%,12.03%,00:06:50,5.70
هوندا سيفيك,"10,028",7.38,22.63%,8.30%,00:09:01,7.37
jeep,"9,987",7.31,24.54%,8.17%,00:10:32,7.34
طرابلس,"9,921",13.93,38.66%,2.65%,00:19:10,14.25
htc,"9,842",4.25,19.74%,13.55%,00:08:05,6.06
برادو,"9,834",4.38,19.71%,13.30%,00:06:24,5.47
فورد سكيب,"9,793",6.93,22.77%,7.06%,00:11:11,8.38
سبورتج,"9,733",5.60,19.73%,12.58%,00:08:10,6.48
ps4,"9,715",2.88,23.05%,14.62%,00:05:16,4.78
سيفيا,"9,685",6.46,17.25%,10.87%,00:09:05,8.20
دراجه,"9,649",6.60,26.85%,7.14%,00:12:04,7.22
ارض,"9,617",9.21,26.74%,5.72%,00:12:01,9.41
التيما,"9,408",4.79,17.75%,13.25%,00:07:07,6.19
قلاب,"9,151",6.63,25.17%,10.10%,00:08:02,6.23
بطة,"9,133",6.78,17.86%,10.22%,00:10:12,8.96
اوبل استرا,"9,079",5.14,16.08%,13.22%,00:08:41,7.27
افيو,"9,061",5.32,16.40%,12.76%,00:08:02,7.27
شقق,"9,027",8.70,28.40%,5.18%,00:11:13,8.91
bmw 520,"8,899",6.92,20.37%,9.04%,00:09:06,7.29
السراج,"8,870",8.36,31.26%,5.32%,00:14:04,9.50
تاهو,"8,855",4.14,17.05%,16.22%,00:05:38,5.09
x5,"8,821",4.97,16.25%,13.17%,00:07:42,6.83
هونداي سوناتا,"8,820",7.17,18.54%,9.59%,00:10:05,7.02
جيب شيروكي,"8,798",6.48,20.73%,9.55%,00:09:42,7.07
لف,"8,786",6.42,19.41%,9.07%,00:09:49,9.05
سيفيك,"8,778",5.76,18.67%,11.42%,00:07:45,6.63
كلب,"8,758",5.24,18.82%,12.18%,00:07:25,7.79
لانوس,"8,714",4.87,15.18%,13.76%,00:09:07,8.54
صني,"8,634",5.67,16.94%,12.49%,00:08:26,6.59
فولفو,"8,573",4.23,14.71%,16.59%,00:07:37,6.10
ساب,"8,542",4.59,17.23%,13.81%,00:08:46,7.30
سوبارو,"8,494",5.10,17.07%,13.02%,00:07:02,6.00
بورش,"8,413",4.43,15.61%,16.40%,00:05:32,4.96
شيروكي,"8,275",5.19,18.83%,13.31%,00:06:58,5.31
سيفك,"8,231",6.17,19.40%,11.18%,00:07:45,6.41
شقه,"8,220",9.62,30.62%,4.45%,00:13:12,10.21
مسدس,"8,217",1.85,10.69%,47.22%,00:03:41,3.13
مكسيما,"8,207",5.28,18.03%,12.39%,00:08:56,7.04
هوندا اكورد,"8,102",5.84,18.54%,10.87%,00:08:39,6.53
مطلوب,"7,996",7.44,23.71%,7.62%,00:11:32,9.85
بدل,"7,991",9.24,28.26%,5.80%,00:13:23,10.80
دوج,"7,969",5.89,17.33%,12.92%,00:06:50,5.80
كيا سبورتج,"7,916",6.51,20.81%,9.61%,00:09:04,7.28
كشف,"7,903",7.17,20.09%,9.50%,00:08:13,6.65
اوبترا,"7,890",5.45,16.89%,12.35%,00:08:14,7.35
هونداي فيرنا,"7,889",6.48,18.10%,10.44%,00:08:59,7.17
ميتسوبيشي لانسر,"7,846",7.88,20.29%,8.03%,00:10:04,8.11
بولو,"7,830",3.68,15.72%,18.72%,00:06:38,6.07
شاحنة,"7,746",6.49,25.83%,9.42%,00:11:25,6.63
بيت,"7,694",8.82,25.99%,5.86%,00:11:13,9.53
مرج الحمام,"7,625",8.67,26.94%,5.59%,00:12:07,10.12
اتوماتيك,"7,602",9.83,31.65%,5.25%,00:16:27,10.26
مرسيدس 190,"7,594",5.40,16.47%,12.39%,00:08:17,7.07
ديانا,"7,537",5.81,19.48%,12.11%,00:08:00,6.68
غير مجمركة,"7,502",6.74,33.26%,6.21%,00:10:00,7.17
جنزور,"7,491",7.75,29.22%,6.16%,00:13:09,9.87
كلاب,"7,474",4.15,17.39%,15.46%,00:06:37,6.54
كيا اوبتيما,"7,455",5.82,19.29%,11.24%,00:08:37,6.42
520,"7,433",5.61,15.40%,12.83%,00:08:00,7.53
قرش ونص,"7,426",6.33,18.13%,9.38%,00:10:02,7.97
clk,"7,399",4.48,17.49%,14.42%,00:06:29,6.10
انفنتي,"7,313",5.23,21.22%,11.80%,00:08:44,6.96
غير مجمرك,"7,291",7.53,31.01%,5.85%,00:10:22,7.81
سيارة,"7,273",7.89,32.81%,5.59%,00:14:27,8.46
بريوس 2010,"7,242",6.57,21.55%,7.40%,00:11:01,8.15
ببغاء,"7,236",4.31,19.71%,12.40%,00:08:15,7.60
اوبل كاديت,"7,233",5.83,17.88%,11.62%,00:08:33,7.43
xd,"7,230",6.16,18.02%,9.89%,00:09:32,8.55
e200,"7,176",5.89,18.78%,11.35%,00:07:42,6.63
فورتي,"7,153",5.74,18.45%,10.47%,00:08:07,7.05
تيدا,"7,125",4.25,13.68%,16.33%,00:07:13,7.01
كيا سبكترا,"7,116",6.44,18.21%,10.53%,00:10:03,8.51
بوز,"7,068",5.40,19.41%,11.47%,00:07:52,6.99
سكوتر,"6,882",4.68,18.98%,11.56%,00:08:37,7.24
عين الباشا,"6,862",7.41,28.01%,6.24%,00:09:34,9.34
اربد,"6,855",9.80,34.66%,4.08%,00:12:34,10.77
لاب توب,"6,834",5.93,25.26%,8.18%,00:10:16,7.88
هونداي توسان,"6,804",6.37,19.33%,10.03%,00:09:20,7.42
للبدل,"6,763",10.41,23.01%,5.62%,00:13:38,12.07
شفر,"6,731",5.64,16.55%,13.99%,00:06:49,5.34
ماي فاي,"6,725",5.22,29.49%,6.65%,00:10:59,7.62
كيا سبورتاج,"6,701",6.05,18.89%,10.33%,00:09:53,7.15
شفرليت,"6,680",6.24,15.67%,12.49%,00:08:46,6.79
جالنت,"6,622",4.80,14.94%,14.93%,00:06:45,6.13
محاسب,"6,599",4.78,31.50%,5.34%,00:09:16,7.46
شاحنات,"6,591",10.12,30.00%,5.34%,00:13:47,9.31
لادا,"6,561",4.31,17.54%,16.90%,00:05:47,5.14
تابلت,"6,539",5.47,23.66%,8.33%,00:09:55,7.76
استرا,"6,502",3.93,12.84%,18.61%,00:07:16,6.25
فورد اسكيب,"6,444",6.80,23.87%,7.20%,00:10:23,7.78
بدون جمرك,"6,426",6.59,22.86%,10.67%,00:07:25,5.48
فيتارا,"6,403",4.00,15.90%,17.28%,00:06:39,6.00
s4,"6,402",4.25,18.49%,13.56%,00:07:41,6.65
مرسيدس c200,"6,395",6.44,20.58%,10.03%,00:09:15,6.65
كمارو,"6,388",2.94,13.26%,25.10%,00:04:43,4.33
اكورد,"6,377",4.67,19.35%,13.77%,00:06:27,5.07
كيا اوبتما,"6,316",6.19,17.76%,11.20%,00:08:28,6.68
باصات,"6,276",9.38,24.16%,5.86%,00:12:36,9.49
اوبتيما,"6,185",4.71,15.49%,14.74%,00:07:15,6.04
بيجو 407,"6,152",5.19,17.21%,12.49%,00:07:49,6.54
كروز,"6,150",5.13,17.04%,13.10%,00:08:05,6.69
سبورتاج,"6,113",4.75,16.18%,14.89%,00:08:31,6.35
s3,"6,091",4.21,17.98%,13.92%,00:07:35,7.41
دايو لانوس,"6,085",5.58,17.37%,11.20%,00:09:41,8.26
iphone 5s,"6,066",3.71,25.85%,11.90%,00:06:44,5.22
تاجوراء,"6,064",8.06,30.82%,5.17%,00:15:08,11.18
باص هونداي,"5,981",8.12,22.52%,7.52%,00:10:41,8.36
سلاح,"5,979",2.05,26.44%,29.66%,00:04:29,4.19
عمان,"5,969",10.80,31.14%,4.38%,00:13:17,11.64
سكيب,"5,927",6.06,23.47%,9.01%,00:09:34,7.34
انفوي,"5,923",4.97,17.39%,12.90%,00:06:52,5.85
صويلح,"5,891",6.60,26.14%,7.90%,00:11:25,10.67
جنط,"5,887",5.62,20.18%,12.72%,00:06:10,5.95
همر,"5,874",3.75,14.61%,18.58%,00:05:41,5.67
لابتوب,"5,871",6.00,23.59%,7.79%,00:10:39,8.67
اوبتما,"5,848",4.96,16.36%,14.58%,00:06:50,5.56
كرولا,"5,838",4.28,15.74%,17.44%,00:05:41,4.80
نيسان تيدا,"5,835",5.64,16.85%,12.10%,00:08:08,7.52
ابو عبدالله1,"5,827",2.04,44.29%,7.69%,00:06:15,5.65
فوكس,"5,826",5.25,16.12%,14.47%,00:05:58,5.18
فيات,"5,818",3.68,14.04%,23.30%,00:05:06,4.01
اقساط من المالك,"5,816",8.09,23.76%,7.73%,00:10:27,9.72
سيارات اقساط,"5,807",9.96,24.88%,5.62%,00:11:26,8.88
حمام,"5,804",4.92,20.68%,12.25%,00:07:44,8.06
زعره,"5,803",3.82,15.47%,17.67%,00:06:45,5.76
لاند روفر,"5,788",4.26,16.76%,17.05%,00:07:01,5.48
شاشة,"5,782",5.42,20.06%,12.14%,00:07:30,6.03
نيسان التيما,"5,740",5.60,17.14%,11.56%,00:07:44,6.47
iphone 5,"5,723",4.62,22.30%,11.06%,00:07:32,6.30
طريق المطار,"5,605",7.89,29.63%,5.89%,00:13:15,8.81
مولد,"5,563",7.01,26.12%,5.30%,00:14:22,10.97
الزرقاء,"5,557",10.93,34.08%,3.47%,00:14:35,11.48
note 3,"5,505",3.60,20.71%,14.64%,00:06:23,5.49
ايفون 5,"5,405",5.18,23.96%,9.58%,00:08:21,6.58
كاديلاك,"5,401",4.14,14.92%,17.98%,00:05:57,5.26
خرطوش,"5,308",1.66,11.70%,50.94%,00:03:01,3.23
سيات,"5,288",3.75,13.12%,23.26%,00:05:27,4.23
مورانو,"5,273",3.79,14.28%,17.33%,00:07:06,6.04
بورتر,"5,271",5.32,22.65%,10.42%,00:10:51,7.95
مرسيدس 300,"5,183",6.48,15.82%,10.98%,00:08:26,7.40
سيارات للبيع,"5,177",9.47,24.53%,6.00%,00:10:36,7.82
xbox,"5,157",3.98,20.46%,11.86%,00:08:51,6.62
bmw 318,"5,141",5.81,17.99%,12.00%,00:07:55,6.21
اتوس,"5,141",3.56,14.04%,23.69%,00:06:13,6.38
دايهاتسو,"5,127",3.83,12.93%,20.40%,00:06:03,5.05
شفا بدران,"5,022",8.49,24.39%,5.75%,00:11:07,9.67
دجاج,"5,017",4.76,18.42%,12.29%,00:09:02,8.10
مطلوب سائق,"4,981",5.07,24.83%,7.97%,00:08:41,8.19
ديهاتسو,"4,963",4.11,12.01%,20.16%,00:06:31,5.88
سلفرادو,"4,957",4.16,14.12%,18.81%,00:05:25,5.06
موستنج,"4,940",3.51,13.89%,21.05%,00:04:23,4.12
باص بريجو,"4,929",6.48,20.84%,9.60%,00:09:51,7.75
اوتوماتيك,"4,917",9.70,29.16%,4.81%,00:14:11,12.37
بيتل,"4,917",3.96,14.42%,16.78%,00:06:38,6.33
اكسل,"4,892",5.47,14.15%,13.54%,00:08:38,8.17
طيور,"4,876",5.82,20.51%,10.50%,00:07:21,6.63
فان,"4,872",5.82,19.52%,11.58%,00:07:41,6.10
كمبيوتر,"4,855",6.53,22.16%,8.30%,00:11:00,9.17
بكب تويوتا,"4,847",5.83,18.49%,12.56%,00:07:06,5.45
غرف نوم,"4,843",6.47,21.43%,7.27%,00:09:57,10.14
زعرة,"4,842",3.54,16.75%,18.61%,00:05:55,5.01
ماركا,"4,835",6.33,22.77%,7.96%,00:10:07,9.81
ستاركس,"4,810",5.55,19.42%,10.95%,00:09:02,7.57
كيا سول,"4,746",4.50,16.16%,12.71%,00:07:40,7.11
يوكن,"4,743",3.54,15.81%,20.20%,00:04:28,3.98
تاكسي,"4,732",5.87,22.23%,6.97%,00:12:28,10.89
ford,"4,731",6.57,19.81%,10.28%,00:08:26,6.11
ميني كوبر,"4,727",4.04,15.32%,16.41%,00:07:03,6.42
ماتيز,"4,706",4.33,13.90%,15.45%,00:08:31,8.31
